itl2_code,itl2_name,year,median_all,median_newbuild,median_existing,median_detached,median_semi_detached,median_terraced,median_flat,n_sales
TLF3,Lincolnshire,2020,195000.0,220000.0,190000.0,252250.0,166995.0,135000.0,100000.0,11366
TLG1,"Herefordshire, Worcestershire and Warwickshire",2020,265000.0,314995.0,250000.0,365000.0,235000.0,192500.0,144950.0,19895
TLG2,Shropshire and Staffordshire,2020,200000.0,264995.0,187000.0,299995.0,177000.0,140000.0,106000.0,22536
TLG3,West Midlands,2020,188000.0,227950.0,183000.0,326000.0,197500.0,161000.0,136000.0,27028
TLH2,Bedfordshire and Hertfordshire,2020,367000.0,389950.0,363000.0,550000.0,382500.0,325000.0,235000.0,23956
TLH3,Essex,2020,325000.0,370000.0,320000.0,455000.0,330000.0,285000.0,195000.0,25832
TLH4,Cambridgeshire and Peterborough,2020,287500.0,349950.0,275000.0,376495.0,250037.5,220000.0,197250.0,11281
TLH5,Norfolk,2020,242500.0,266995.0,238000.0,310000.0,220000.0,187000.0,138125.0,14096
TLH6,Suffolk,2020,256000.0,300000.0,249997.5,360000.0,235000.0,200000.0,150000.0,11138
TLI3,Inner London - West,2020,785000.0,890000.0,765000.0,2730000.0,1785000.0,1250000.0,680000.0,11634
TLI4,Inner London - East,2020,530000.0,599000.0,500000.0,1210000.0,892500.0,697000.0,490000.0,19647
TLI5,Outer London - East and North East,2020,411000.0,462000.0,405000.0,645000.0,460000.0,418500.0,326000.0,16194
TLI6,Outer London - South,2020,441000.0,415000.0,447000.0,750000.0,540000.0,445000.0,320000.0,14385
TLI7,Outer London - West and North West,2020,500000.0,445000.0,520000.0,925000.0,600000.0,575000.0,395000.0,16096
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2020,375000.0,400000.0,367000.0,536125.0,365000.0,312500.0,228495.0,31844
TLJ2,"Surrey, East and West Sussex",2020,385000.0,415000.0,380000.0,585000.0,395000.0,335000.0,237500.0,41703
TLJ3,Hampshire and Isle of Wight,2020,300000.0,369000.0,290000.0,460000.0,310000.0,250000.0,175000.0,27671
TLJ4,Kent,2020,310000.0,361997.5,300000.0,469950.0,320000.0,260000.0,190000.0,25972
TLK3,Cornwall and Isles of Scilly,2020,250500.0,269500.0,250000.0,345000.0,225000.0,190000.0,165000.0,9372
TLK4,Devon,2020,250000.0,285000.0,242500.0,360000.0,240000.0,200000.0,144000.0,19064
TLK5,West of England,2020,300000.0,341995.0,295000.0,445000.0,300000.0,285000.0,230000.0,12292
TLK6,"North Somerset, Somerset and Dorset",2020,280000.0,292500.0,279000.0,395000.0,264000.0,220000.0,177500.0,24549
TLK7,Gloucestershire and Wiltshire,2020,275000.0,321500.0,265000.0,390000.0,260000.0,215000.0,146500.0,19695
TLL3,North Wales,2020,171000.0,235000.0,165500.0,243000.0,154995.0,123500.0,110000.0,8742
TLL4,Mid and South West Wales,2020,164000.0,190995.0,160000.0,241250.0,147000.0,119125.0,115000.0,10556
TLL5,South East Wales,2020,180000.0,250995.0,170000.0,296997.5,185500.0,133000.0,133000.0,17758
TLC3,Tees Valley,2021,150000.0,236950.0,140000.0,255000.0,143500.0,90000.0,82750.0,12611
TLC4,"Northumberland, Durham and Tyne & Wear",2021,159995.0,234950.0,147950.0,274000.0,157000.0,120000.0,102000.0,35031
TLD1,Cumbria,2021,183000.0,249950.0,176500.0,307500.0,176000.0,124000.0,135000.0,11283
TLD3,Greater Manchester,2021,208000.0,253358.0,200000.0,330000.0,219995.0,158000.0,185000.0,46799
TLD4,Lancashire,2021,170000.0,249997.0,160500.0,290000.0,172000.0,116505.0,101950.0,30726
TLD6,Cheshire,2021,250000.0,309995.0,240000.0,369995.0,221995.0,177995.0,138000.0,21258
TLD7,Merseyside,2021,175000.0,224395.0,172000.0,309000.0,187995.0,125000.0,122000.0,24322
TLE1,East Yorkshire and Northern Lincolnshire,2021,170000.0,225000.0,163000.0,275000.0,163000.0,120000.0,90000.0,18348
TLE2,North Yorkshire,2021,260000.0,310000.0,252000.0,375000.0,240000.0,210000.0,168250.0,18459
TLE3,South Yorkshire,2021,167500.0,200000.0,163000.0,270997.5,159950.0,130000.0,120000.0,22161
TLE4,West Yorkshire,2021,185000.0,239950.0,180000.0,330000.0,190000.0,139950.0,120000.0,39963
TLF1,Derbyshire and Nottinghamshire,2021,208000.0,259995.0,195000.0,299995.0,181000.0,147882.5,125000.0,41671
TLF2,"Leicestershire, Rutland and Northamptonshire",2021,255000.0,304995.0,245000.0,362500.0,235000.0,196000.0,130000.0,34417
