itl2_code,itl2_name,year,gdhi_per_head_gbp
TLL4,Mid and South West Wales,2006,12552
TLL5,South East Wales,2006,12392
TLM0,Eastern Scotland,2006,13253
TLM1,East Central Scotland,2006,15411
TLM2,Highlands and Islands,2006,12538
TLM3,West Central Scotland,2006,13068
TLM5,North Eastern Scotland,2006,15833
TLM9,Southern Scotland,2006,13045
TLN0,Northern Ireland,2006,12558
TLC3,Tees Valley,2007,12259
TLC4,"Northumberland, Durham and Tyne & Wear",2007,12508
TLD1,Cumbria,2007,14292
TLD3,Greater Manchester,2007,13140
TLD4,Lancashire,2007,13071
TLD6,Cheshire,2007,16162
TLD7,Merseyside,2007,12929
TLE1,East Yorkshire and Northern Lincolnshire,2007,12830
TLE2,North Yorkshire,2007,15852
TLE3,South Yorkshire,2007,12458
TLE4,West Yorkshire,2007,13059
TLF1,Derbyshire and Nottinghamshire,2007,13409
TLF2,"Leicestershire, Rutland and Northamptonshire",2007,14394
TLF3,Lincolnshire,2007,13801
TLG1,"Herefordshire, Worcestershire and Warwickshire",2007,15534
TLG2,Shropshire and Staffordshire,2007,13680
TLG3,West Midlands,2007,11861
TLH2,Bedfordshire and Hertfordshire,2007,17363
TLH3,Essex,2007,15794
TLH4,Cambridgeshire and Peterborough,2007,15755
TLH5,Norfolk,2007,13189
TLH6,Suffolk,2007,14230
TLI3,Inner London - West,2007,36657
TLI4,Inner London - East,2007,18532
TLI5,Outer London - East and North East,2007,16191
TLI6,Outer London - South,2007,19496
TLI7,Outer London - West and North West,2007,19640
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2007,18854
TLJ2,"Surrey, East and West Sussex",2007,19300
TLJ3,Hampshire and Isle of Wight,2007,16082
TLJ4,Kent,2007,15904
TLK3,Cornwall and Isles of Scilly,2007,13668
TLK4,Devon,2007,14195
TLK5,West of England,2007,15298
TLK6,"North Somerset, Somerset and Dorset",2007,15835
TLK7,Gloucestershire and Wiltshire,2007,16096
TLL3,North Wales,2007,13194
TLL4,Mid and South West Wales,2007,12819
TLL5,South East Wales,2007,12863
TLM0,Eastern Scotland,2007,14058
TLM1,East Central Scotland,2007,16065
TLM2,Highlands and Islands,2007,13239
TLM3,West Central Scotland,2007,13745
TLM5,North Eastern Scotland,2007,16834
TLM9,Southern Scotland,2007,13707
TLN0,Northern Ireland,2007,12847
TLC3,Tees Valley,2008,12521
TLC4,"Northumberland, Durham and Tyne & Wear",2008,12822
TLD1,Cumbria,2008,14566
TLD3,Greater Manchester,2008,13297
TLD4,Lancashire,2008,13398
TLD6,Cheshire,2008,16481
TLD7,Merseyside,2008,13137
TLE1,East Yorkshire and Northern Lincolnshire,2008,12974
TLE2,North Yorkshire,2008,16155
TLE3,South Yorkshire,2008,12627
TLE4,West Yorkshire,2008,13204
TLF1,Derbyshire and Nottinghamshire,2008,13614
TLF2,"Leicestershire, Rutland and Northamptonshire",2008,14457
TLF3,Lincolnshire,2008,14077
TLG1,"Herefordshire, Worcestershire and Warwickshire",2008,15994
TLG2,Shropshire and Staffordshire,2008,14127
TLG3,West Midlands,2008,12104
TLH2,Bedfordshire and Hertfordshire,2008,17749
TLH3,Essex,2008,16350
TLH4,Cambridgeshire and Peterborough,2008,16048
TLH5,Norfolk,2008,13772
TLH6,Suffolk,2008,15064
TLI3,Inner London - West,2008,39023
TLI4,Inner London - East,2008,18864
TLI5,Outer London - East and North East,2008,16575
TLI6,Outer London - South,2008,19832
TLI7,Outer London - West and North West,2008,20148
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2008,19236
TLJ2,"Surrey, East and West Sussex",2008,19590
TLJ3,Hampshire and Isle of Wight,2008,16511
TLJ4,Kent,2008,16252
TLK3,Cornwall and Isles of Scilly,2008,14028
TLK4,Devon,2008,14809
TLK5,West of England,2008,15841
TLK6,"North Somerset, Somerset and Dorset",2008,16287
TLK7,Gloucestershire and Wiltshire,2008,16507
TLL3,North Wales,2008,13693
TLL4,Mid and South West Wales,2008,13525
TLL5,South East Wales,2008,13325
TLM0,Eastern Scotland,2008,14673
TLM1,East Central Scotland,2008,16434
TLM2,Highlands and Islands,2008,14662
TLM3,West Central Scotland,2008,14239
TLM5,North Eastern Scotland,2008,17648
TLM9,Southern Scotland,2008,14205
TLN0,Northern Ireland,2008,13076
TLC3,Tees Valley,2009,13094
TLC4,"Northumberland, Durham and Tyne & Wear",2009,13374
TLD1,Cumbria,2009,15245
TLD3,Greater Manchester,2009,13704
TLD4,Lancashire,2009,13923
TLD6,Cheshire,2009,16898
TLD7,Merseyside,2009,13746
TLE1,East Yorkshire and Northern Lincolnshire,2009,13304
TLE2,North Yorkshire,2009,16819
TLE3,South Yorkshire,2009,12989
TLE4,West Yorkshire,2009,13461
TLF1,Derbyshire and Nottinghamshire,2009,13844
TLF2,"Leicestershire, Rutland and Northamptonshire",2009,14629
TLF3,Lincolnshire,2009,14412
TLG1,"Herefordshire, Worcestershire and Warwickshire",2009,16294
TLG2,Shropshire and Staffordshire,2009,14401
TLG3,West Midlands,2009,12456
TLH2,Bedfordshire and Hertfordshire,2009,18178
TLH3,Essex,2009,16809
TLH4,Cambridgeshire and Peterborough,2009,16316
TLH5,Norfolk,2009,14160
TLH6,Suffolk,2009,15541
TLI3,Inner London - West,2009,38891
TLI4,Inner London - East,2009,18949
TLI5,Outer London - East and North East,2009,16563
TLI6,Outer London - South,2009,19522
TLI7,Outer London - West and North West,2009,19980
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2009,19479
TLJ2,"Surrey, East and West Sussex",2009,19825
TLJ3,Hampshire and Isle of Wight,2009,17024
TLJ4,Kent,2009,16742
TLK3,Cornwall and Isles of Scilly,2009,14279
TLK4,Devon,2009,15191
TLK5,West of England,2009,15759
TLK6,"North Somerset, Somerset and Dorset",2009,16182
TLK7,Gloucestershire and Wiltshire,2009,16593
TLL3,North Wales,2009,13716
TLL4,Mid and South West Wales,2009,13637
TLL5,South East Wales,2009,13280
TLM0,Eastern Scotland,2009,14761
TLM1,East Central Scotland,2009,16462
TLM2,Highlands and Islands,2009,15074
TLM3,West Central Scotland,2009,14418
TLM5,North Eastern Scotland,2009,18024
TLM9,Southern Scotland,2009,14454
TLN0,Northern Ireland,2009,13256
TLC3,Tees Valley,2010,13213
TLC4,"Northumberland, Durham and Tyne & Wear",2010,13630
TLD1,Cumbria,2010,15588
TLD3,Greater Manchester,2010,13799
TLD4,Lancashire,2010,14024
TLD6,Cheshire,2010,16948
TLD7,Merseyside,2010,13912
TLE1,East Yorkshire and Northern Lincolnshire,2010,13444
TLE2,North Yorkshire,2010,16693
TLE3,South Yorkshire,2010,13052
TLE4,West Yorkshire,2010,13535
TLF1,Derbyshire and Nottinghamshire,2010,13768
TLF2,"Leicestershire, Rutland and Northamptonshire",2010,14686
TLF3,Lincolnshire,2010,14621
TLG1,"Herefordshire, Worcestershire and Warwickshire",2010,16348
TLG2,Shropshire and Staffordshire,2010,14520
TLG3,West Midlands,2010,12642
TLH2,Bedfordshire and Hertfordshire,2010,18251
TLH3,Essex,2010,16799
TLH4,Cambridgeshire and Peterborough,2010,16408
TLH5,Norfolk,2010,14612
TLH6,Suffolk,2010,15635
TLI3,Inner London - West,2010,37834
TLI4,Inner London - East,2010,19431
TLI5,Outer London - East and North East,2010,16785
TLI6,Outer London - South,2010,19927
TLI7,Outer London - West and North West,2010,20287
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2010,19358
TLJ2,"Surrey, East and West Sussex",2010,19989
TLJ3,Hampshire and Isle of Wight,2010,17002
TLJ4,Kent,2010,16832
