itl2_code,itl2_name,year,affordability_ratio_workplace
TLK6,"North Somerset, Somerset and Dorset",2003,7.6175
TLK7,Gloucestershire and Wiltshire,2003,7.005
TLL3,North Wales,2003,4.536666666666666
TLL4,Mid and South West Wales,2003,4.508333333333333
TLL5,South East Wales,2003,4.122000000000001
TLC3,Tees Valley,2004,4.072
TLC4,"Northumberland, Durham and Tyne & Wear",2004,5.154285714285714
TLD1,Cumbria,2004,5.0649999999999995
TLD3,Greater Manchester,2004,4.813999999999999
TLD4,Lancashire,2004,5.0721428571428575
TLD6,Cheshire,2004,6.343333333333334
TLD7,Merseyside,2004,4.993333333333333
TLE1,East Yorkshire and Northern Lincolnshire,2004,4.2675
TLE2,North Yorkshire,2004,7.045
TLE3,South Yorkshire,2004,4.572500000000001
TLE4,West Yorkshire,2004,4.818
TLF1,Derbyshire and Nottinghamshire,2004,5.6494117647058815
TLF2,"Leicestershire, Rutland and Northamptonshire",2004,6.660909090909092
TLF3,Lincolnshire,2004,6.732857142857142
TLG1,"Herefordshire, Worcestershire and Warwickshire",2004,7.589999999999999
TLG2,Shropshire and Staffordshire,2004,6.102727272727273
TLG3,West Midlands,2004,5.521428571428571
TLH2,Bedfordshire and Hertfordshire,2004,7.64
TLH3,Essex,2004,8.027142857142858
TLH4,Cambridgeshire and Peterborough,2004,6.781666666666666
TLH5,Norfolk,2004,7.065714285714286
TLH6,Suffolk,2004,7.236
TLI3,Inner London - West,2004,10.635
TLI4,Inner London - East,2004,7.538749999999999
TLI5,Outer London - East and North East,2004,7.924285714285714
TLI6,Outer London - South,2004,8.924
TLI7,Outer London - West and North West,2004,9.042857142857141
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2004,7.510000000000001
TLJ2,"Surrey, East and West Sussex",2004,8.804166666666665
TLJ3,Hampshire and Isle of Wight,2004,7.913571428571429
TLJ4,Kent,2004,7.62
TLK3,Cornwall and Isles of Scilly,2004,9.39
TLK4,Devon,2004,8.747
TLK5,West of England,2004,6.916666666666667
TLK6,"North Somerset, Somerset and Dorset",2004,8.3925
TLK7,Gloucestershire and Wiltshire,2004,7.572499999999999
TLL3,North Wales,2004,5.5183333333333335
TLL4,Mid and South West Wales,2004,6.095
TLL5,South East Wales,2004,4.961000000000001
TLC3,Tees Valley,2005,4.486
TLC4,"Northumberland, Durham and Tyne & Wear",2005,5.402857142857143
TLD1,Cumbria,2005,5.615
TLD3,Greater Manchester,2005,5.398000000000001
TLD4,Lancashire,2005,5.377857142857144
TLD6,Cheshire,2005,6.483333333333333
TLD7,Merseyside,2005,5.373333333333334
TLE1,East Yorkshire and Northern Lincolnshire,2005,4.5125
TLE2,North Yorkshire,2005,7.51
TLE3,South Yorkshire,2005,5.0475
TLE4,West Yorkshire,2005,5.286
TLF1,Derbyshire and Nottinghamshire,2005,5.988823529411765
TLF2,"Leicestershire, Rutland and Northamptonshire",2005,7.000000000000001
TLF3,Lincolnshire,2005,7.047142857142857
TLG1,"Herefordshire, Worcestershire and Warwickshire",2005,7.805
TLG2,Shropshire and Staffordshire,2005,6.372727272727272
TLG3,West Midlands,2005,5.791428571428573
TLH2,Bedfordshire and Hertfordshire,2005,7.716153846153848
TLH3,Essex,2005,8.18357142857143
TLH4,Cambridgeshire and Peterborough,2005,7.289999999999999
TLH5,Norfolk,2005,7.337142857142857
TLH6,Suffolk,2005,7.589999999999999
TLI3,Inner London - West,2005,11.01
TLI4,Inner London - East,2005,7.695
TLI5,Outer London - East and North East,2005,7.807142857142858
TLI6,Outer London - South,2005,8.722
TLI7,Outer London - West and North West,2005,8.997142857142856
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2005,7.783846153846154
