itl2_code,itl2_name,year,affordability_ratio_residence
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2015,9.41
TLJ2,"Surrey, East and West Sussex",2015,10.12375
TLJ3,Hampshire and Isle of Wight,2015,8.310714285714285
TLJ4,Kent,2015,7.947692307692309
TLK3,Cornwall and Isles of Scilly,2015,8.58
TLK4,Devon,2015,8.545
TLK5,West of England,2015,8.263333333333334
TLK6,"North Somerset, Somerset and Dorset",2015,8.2375
TLK7,Gloucestershire and Wiltshire,2015,7.717499999999999
TLL3,North Wales,2015,5.868333333333333
TLL4,Mid and South West Wales,2015,5.983333333333333
TLL5,South East Wales,2015,5.227
