itl2_code,itl2_name,year,gva_real_gbp_m,population,gva_per_capita_gbp
TLL4,Mid and South West Wales,2018,19786,890422.0,22220.924460536688
TLL5,South East Wales,2018,37776,1506936.0,25068.08517415471
TLM0,Eastern Scotland,2018,22665,925480.0,24489.994381294033
TLM1,East Central Scotland,2018,42119,1041570.0,40437.992645717524
TLM2,Highlands and Islands,2018,13828,622670.0,22207.58989512904
TLM3,West Central Scotland,2018,43862,1500690.0,29227.88850462121
TLM5,North Eastern Scotland,2018,18776,484390.0,38762.154462313425
TLM9,Southern Scotland,2018,21622,952430.0,22701.930850561195
TLN0,Northern Ireland,2018,47460,1886259.0,25160.913745143163
TLC3,Tees Valley,2019,15178,674626.0,22498.391701476077
TLC4,"Northumberland, Durham and Tyne & Wear",2019,45736,1962050.0,23310.313192834026
TLD1,Cumbria,2019,13498,499171.0,27040.833702278378
TLD3,Greater Manchester,2019,82549,2847959.0,28985.318959999073
TLD4,Lancashire,2019,38124,1513857.0,25183.35615583242
TLD6,Cheshire,2019,37191,956163.0,38896.08780092934
TLD7,Merseyside,2019,38181,1546117.0,24694.76760167568
TLE1,East Yorkshire and Northern Lincolnshire,2019,23662,935933.0,25281.72422598626
TLE2,North Yorkshire,2019,23996,814537.0,29459.68077570448
TLE3,South Yorkshire,2019,30434,1374386.0,22143.70635323701
TLE4,West Yorkshire,2019,63584,2339795.0,27175.030291115247
TLF1,Derbyshire and Nottinghamshire,2019,55668,2194954.0,25361.80712670972
TLF2,"Leicestershire, Rutland and Northamptonshire",2019,52407,1887784.0,27761.12097570485
TLF3,Lincolnshire,2019,17830,761263.0,23421.603309237413
TLG1,"Herefordshire, Worcestershire and Warwickshire",2019,41175,1368778.0,30081.576413414008
TLG2,Shropshire and Staffordshire,2019,39668,1631108.0,24319.664914892208
TLG3,West Midlands,2019,77025,2921091.0,26368.57256415497
TLH2,Bedfordshire and Hertfordshire,2019,61856,1881839.0,32869.974530233456
TLH3,Essex,2019,48896,1846380.0,26482.08927739685
TLH4,Cambridgeshire and Peterborough,2019,29858,881675.0,33865.08634133893
TLH5,Norfolk,2019,22241,906964.0,24522.472777309795
TLH6,Suffolk,2019,21173,757321.0,27957.76163608298
TLI3,Inner London - West,2019,242035,1104241.0,219186.75361628484
TLI4,Inner London - East,2019,126748,2364397.0,53606.90273249374
TLI5,Outer London - East and North East,2019,41657,1942897.0,21440.66309227921
TLI6,Outer London - South,2019,35627,1317367.0,27044.096292073507
TLI7,Outer London - West and North West,2019,74888,2160841.0,34656.8766512668
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2019,107111,2475951.0,43260.54917888116
TLJ2,"Surrey, East and West Sussex",2019,96347,2889145.0,33347.928193289015
TLJ3,Hampshire and Isle of Wight,2019,68065,1985982.0,34272.71747679485
TLJ4,Kent,2019,49714,1842692.0,26979.006800919524
TLK3,Cornwall and Isles of Scilly,2019,12809,565793.0,22639.021691678758
TLK4,Devon,2019,28745,1200337.0,23947.441426865957
TLK5,West of England,2019,35978,944659.0,38085.70076609655
