itl2_code,itl2_name,year,inflow,outflow,net_migration
TLH5,Norfolk,2018,64259.0,57075.0,7184.0
TLH6,Suffolk,2018,44808.0,42581.0,2227.0
TLI3,Inner London - West,2018,119902.0,132732.0,-12830.0
TLI4,Inner London - East,2018,228738.0,260155.0,-31417.0
TLI5,Outer London - East and North East,2018,131909.0,156090.0,-24181.0
TLI6,Outer London - South,2018,93238.0,103296.0,-10058.0
TLI7,Outer London - West and North West,2018,156635.0,188493.0,-31858.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2018,160201.0,164825.0,-4624.0
TLJ2,"Surrey, East and West Sussex",2018,205387.0,199791.0,5596.0
TLJ3,Hampshire and Isle of Wight,2018,125636.0,124127.0,1509.0
TLJ4,Kent,2018,110737.0,103498.0,7239.0
TLK3,Cornwall and Isles of Scilly,2018,27791.0,21700.0,6091.0
TLK4,Devon,2018,88174.0,76953.0,11221.0
TLK5,West of England,2018,76576.0,71576.0,5000.0
TLK6,"North Somerset, Somerset and Dorset",2018,87991.0,79325.0,8666.0
TLK7,Gloucestershire and Wiltshire,2018,82735.0,77060.0,5675.0
TLL3,North Wales,2018,27728.0,26656.0,1072.0
TLL4,Mid and South West Wales,2018,39951.0,38065.0,1886.0
TLL5,South East Wales,2018,66609.0,62655.0,3954.0
TLC3,Tees Valley,2019,31363.0,33470.0,-2107.0
TLC4,"Northumberland, Durham and Tyne & Wear",2019,101366.0,94689.0,6677.0
TLD1,Cumbria,2019,16740.0,15511.0,1229.0
TLD3,Greater Manchester,2019,163580.0,165073.0,-1493.0
TLD4,Lancashire,2019,87309.0,83333.0,3976.0
TLD6,Cheshire,2019,47320.0,41539.0,5781.0
TLD7,Merseyside,2019,78434.0,76008.0,2426.0
TLE1,East Yorkshire and Northern Lincolnshire,2019,43604.0,42590.0,1014.0
TLE2,North Yorkshire,2019,51591.0,47666.0,3925.0
TLE3,South Yorkshire,2019,67464.0,68286.0,-822.0
TLE4,West Yorkshire,2019,117614.0,119669.0,-2055.0
TLF1,Derbyshire and Nottinghamshire,2019,158948.0,151724.0,7224.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2019,118622.0,118327.0,295.0
TLF3,Lincolnshire,2019,56795.0,51208.0,5587.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2019,83728.0,74103.0,9625.0
TLG2,Shropshire and Staffordshire,2019,87493.0,79485.0,8008.0
TLG3,West Midlands,2019,152392.0,172675.0,-20283.0
TLH2,Bedfordshire and Hertfordshire,2019,122839.0,127896.0,-5057.0
TLH3,Essex,2019,113891.0,107656.0,6235.0
TLH4,Cambridgeshire and Peterborough,2019,63381.0,65293.0,-1912.0
TLH5,Norfolk,2019,64796.0,58777.0,6019.0
TLH6,Suffolk,2019,44605.0,41115.0,3490.0
TLI3,Inner London - West,2019,128330.0,138750.0,-10420.0
TLI4,Inner London - East,2019,242555.0,274217.0,-31662.0
TLI5,Outer London - East and North East,2019,136689.0,159711.0,-23022.0
TLI6,Outer London - South,2019,98148.0,104273.0,-6125.0
TLI7,Outer London - West and North West,2019,165093.0,193235.0,-28142.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2019,163132.0,166985.0,-3853.0
TLJ2,"Surrey, East and West Sussex",2019,207264.0,201454.0,5810.0
TLJ3,Hampshire and Isle of Wight,2019,126657.0,126587.0,70.0
TLJ4,Kent,2019,114234.0,105820.0,8414.0
TLK3,Cornwall and Isles of Scilly,2019,28531.0,21881.0,6650.0
TLK4,Devon,2019,88143.0,78662.0,9481.0
TLK5,West of England,2019,78291.0,75882.0,2409.0
TLK6,"North Somerset, Somerset and Dorset",2019,86996.0,79205.0,7791.0
TLK7,Gloucestershire and Wiltshire,2019,84268.0,77972.0,6296.0
TLL3,North Wales,2019,27578.0,26306.0,1272.0
TLL4,Mid and South West Wales,2019,40569.0,38197.0,2372.0
TLL5,South East Wales,2019,66207.0,62460.0,3747.0
TLC3,Tees Valley,2020,27712.0,28879.0,-1167.0
TLC4,"Northumberland, Durham and Tyne & Wear",2020,91623.0,85532.0,6091.0
TLD1,Cumbria,2020,15287.0,13427.0,1860.0
TLD3,Greater Manchester,2020,143987.0,148296.0,-4309.0
TLD4,Lancashire,2020,82336.0,76605.0,5731.0
TLD6,Cheshire,2020,41552.0,37420.0,4132.0
TLD7,Merseyside,2020,74934.0,70827.0,4107.0
TLE1,East Yorkshire and Northern Lincolnshire,2020,39378.0,38699.0,679.0
TLE2,North Yorkshire,2020,45253.0,43240.0,2013.0
TLE3,South Yorkshire,2020,59954.0,60201.0,-247.0
TLE4,West Yorkshire,2020,103766.0,106783.0,-3017.0
TLF1,Derbyshire and Nottinghamshire,2020,146544.0,139629.0,6915.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2020,104085.0,106664.0,-2579.0
TLF3,Lincolnshire,2020,50355.0,45616.0,4739.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2020,75305.0,65654.0,9651.0
TLG2,Shropshire and Staffordshire,2020,78432.0,71505.0,6927.0
TLG3,West Midlands,2020,136113.0,155810.0,-19697.0
TLH2,Bedfordshire and Hertfordshire,2020,112296.0,111897.0,399.0
TLH3,Essex,2020,101271.0,96815.0,4456.0
TLH4,Cambridgeshire and Peterborough,2020,57769.0,58549.0,-780.0
TLH5,Norfolk,2020,59166.0,52079.0,7087.0
TLH6,Suffolk,2020,40415.0,36903.0,3512.0
TLI3,Inner London - West,2020,112747.0,130048.0,-17301.0
TLI4,Inner London - East,2020,212590.0,252769.0,-40179.0
TLI5,Outer London - East and North East,2020,119782.0,140847.0,-21065.0
TLI6,Outer London - South,2020,88590.0,94908.0,-6318.0
TLI7,Outer London - West and North West,2020,146663.0,175782.0,-29119.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2020,152118.0,150486.0,1632.0
TLJ2,"Surrey, East and West Sussex",2020,191845.0,183637.0,8208.0
TLJ3,Hampshire and Isle of Wight,2020,114311.0,112553.0,1758.0
TLJ4,Kent,2020,103049.0,95959.0,7090.0
TLK3,Cornwall and Isles of Scilly,2020,24924.0,20455.0,4469.0
TLK4,Devon,2020,77862.0,70764.0,7098.0
TLK5,West of England,2020,74204.0,70579.0,3625.0
TLK6,"North Somerset, Somerset and Dorset",2020,76004.0,70935.0,5069.0
TLK7,Gloucestershire and Wiltshire,2020,75325.0,70497.0,4828.0
TLL3,North Wales,2020,29140.0,23618.0,5522.0
TLL4,Mid and South West Wales,2020,42624.0,33449.0,9175.0
TLL5,South East Wales,2020,68133.0,56549.0,11584.0
TLC3,Tees Valley,2021,32739.0,31039.0,1700.0
TLC4,"Northumberland, Durham and Tyne & Wear",2021,105548.0,96796.0,8752.0
TLD1,Cumbria,2021,19626.0,15161.0,4465.0
TLD3,Greater Manchester,2021,172694.0,179933.0,-7239.0
TLD4,Lancashire,2021,95840.0,87646.0,8194.0
TLD6,Cheshire,2021,52879.0,44473.0,8406.0
TLD7,Merseyside,2021,87445.0,81340.0,6105.0
TLE1,East Yorkshire and Northern Lincolnshire,2021,44405.0,42278.0,2127.0
TLE2,North Yorkshire,2021,54655.0,46623.0,8032.0
TLE3,South Yorkshire,2021,66840.0,67434.0,-594.0
TLE4,West Yorkshire,2021,114371.0,120951.0,-6580.0
TLF1,Derbyshire and Nottinghamshire,2021,167602.0,157016.0,10586.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2021,118906.0,119935.0,-1029.0
TLF3,Lincolnshire,2021,58341.0,49985.0,8356.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2021,95868.0,78136.0,17732.0
TLG2,Shropshire and Staffordshire,2021,96753.0,84609.0,12144.0
TLG3,West Midlands,2021,155909.0,185852.0,-29943.0
TLH2,Bedfordshire and Hertfordshire,2021,138344.0,141101.0,-2757.0
TLH3,Essex,2021,123555.0,117811.0,5744.0
TLH4,Cambridgeshire and Peterborough,2021,71480.0,68095.0,3385.0
TLH5,Norfolk,2021,69785.0,58032.0,11753.0
TLH6,Suffolk,2021,49952.0,42864.0,7088.0
TLI3,Inner London - West,2021,152348.0,177148.0,-24800.0
TLI4,Inner London - East,2021,278867.0,340062.0,-61195.0
TLI5,Outer London - East and North East,2021,143333.0,173428.0,-30095.0
TLI6,Outer London - South,2021,104529.0,122868.0,-18339.0
TLI7,Outer London - West and North West,2021,170943.0,222519.0,-51576.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2021,189216.0,183429.0,5787.0
TLJ2,"Surrey, East and West Sussex",2021,240671.0,223051.0,17620.0
TLJ3,Hampshire and Isle of Wight,2021,139562.0,132608.0,6954.0
TLJ4,Kent,2021,127423.0,116334.0,11089.0
TLK3,Cornwall and Isles of Scilly,2021,32145.0,21811.0,10334.0
TLK4,Devon,2021,92807.0,76818.0,15989.0
TLK5,West of England,2021,82359.0,83873.0,-1514.0
TLK6,"North Somerset, Somerset and Dorset",2021,95033.0,78389.0,16644.0
TLK7,Gloucestershire and Wiltshire,2021,92455.0,81704.0,10751.0
TLL3,North Wales,2021,31226.0,29130.0,2096.0
TLL4,Mid and South West Wales,2021,47011.0,41840.0,5171.0
TLL5,South East Wales,2021,72654.0,70507.0,2147.0
TLC3,Tees Valley,2022,32620.0,31768.0,852.0
TLC4,"Northumberland, Durham and Tyne & Wear",2022,101946.0,92871.0,9075.0
TLD1,Cumbria,2022,18274.0,14945.0,3329.0
TLD3,Greater Manchester,2022,172216.0,177312.0,-5096.0
TLD4,Lancashire,2022,96836.0,87197.0,9639.0
TLD6,Cheshire,2022,49326.0,42850.0,6476.0
TLD7,Merseyside,2022,87278.0,81406.0,5872.0
TLE1,East Yorkshire and Northern Lincolnshire,2022,43121.0,40771.0,2350.0
TLE2,North Yorkshire,2022,49967.0,44429.0,5538.0
TLE3,South Yorkshire,2022,65778.0,65999.0,-221.0
TLE4,West Yorkshire,2022,110905.0,116672.0,-5767.0
TLF1,Derbyshire and Nottinghamshire,2022,162315.0,152778.0,9537.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2022,113683.0,115219.0,-1536.0
TLF3,Lincolnshire,2022,54913.0,47810.0,7103.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2022,87557.0,74180.0,13377.0
TLG2,Shropshire and Staffordshire,2022,92606.0,80557.0,12049.0
TLG3,West Midlands,2022,154822.0,184395.0,-29573.0
TLH2,Bedfordshire and Hertfordshire,2022,126958.0,134242.0,-7284.0
TLH3,Essex,2022,113251.0,109987.0,3264.0
TLH4,Cambridgeshire and Peterborough,2022,67262.0,64398.0,2864.0
TLH5,Norfolk,2022,61664.0,54717.0,6947.0
TLH6,Suffolk,2022,45262.0,40488.0,4774.0
TLI3,Inner London - West,2022,137645.0,147794.0,-10149.0
TLI4,Inner London - East,2022,251852.0,289256.0,-37404.0
